TesterID:	Maccor#2				
Channel Number:	47				
TestName:	KAI_Zelltest_regulaer_fix_no_degass.000				
TestDesc:	Regular cycling: formation, followed by pulse, C-rate quick charge and cycling t				
StartDateTime:	44888,6351560069				
Comment:					
					
					
Cycle	AH-IN	AH-OUT	WH-IN	WH-OUT	Date
0		2,1839E-8		5,47808460476666E-9	44888,9755541088
1	0,525584401884	0,450240850729	1,959452418623	1,650399862041	44889,4197812153
2	0,454863197986	0,451717997107	1,708754170502	1,656953322909	44889,8398631018
3	0,467228594543	3,9005E-8	1,759642255657	1,25587E-7	44890,3332503935
4	4,10722006052745E-12	2,522E-8	1,54152133395184E-11	8,1958E-8	44890,6397071296
5	0,457123119063	0,455029085752	1,730361990172	1,670437284215	44890,9078534838
6	0,455664524066	0,454050575769	1,724424314993	1,667017113523	44891,18174625
7	0,454786447033	0,453462540116	1,720774466623	1,664996327439	44891,4549623843
8	0,453906625251	0,43162522941	1,717113471533	1,558162826292	44891,6445471412
9	0,431833912299	0,430638400914	1,640588118191	1,55485911283	44891,8277529514
10	0,430842975359	0,429917678108	1,636736921943	1,55242769188	44892,0103798843
11	0,430098136287	0,373728864587	1,633804986842	1,316814196999	44892,1708765509
12	0,373903411406	0,374731238423	1,435283554458	1,320846085479	44892,3161606829
13	0,374872234276	0,374749262931	1,438440439398	1,321060968204	44892,4615042593
14	0,374887429209	0,446154943732	1,438228111444	1,639249566736	44892,7100689931
15	0,446490342316	0,446617225335	1,688563433345	1,640967203757	44892,9779559606
16	0,446977055575	2,2464E-8	1,690179903518	7,1353E-8	44893,2532006597
17	0,392475686457	0,392717874564	1,491967616067	1,422130158177	44893,4010652431
18	0,392546653839	0,392464871288	1,491796660404	1,421148028614	44893,5557495486
19	0,392529630705	0,392422260048	1,491184489593	1,420958103037	44893,719720463
20	0,36297437061	0,356951135117	1,407193147253	1,282984627378	44893,8459334606
21	0,356177528178	0,349671938534	1,38016540393	1,256990231137	44893,9698826042
22	0,349308368158	2,6077E-8	1,353404125384	7,968E-8	44894,0989109491
23	7,62951094834821E-14	0,249073531092	2,85418333966856E-13	0,873961096307	44894,3784796181
24	0,429897909501	0,421170754313	1,654510950395	1,521502879616	44894,4882096296
25	0,421312118301	0,420252388598	1,624745942172	1,518423424097	44894,5966942245
26	0,420454853999	0,419591104767	1,621478243459	1,516157047154	44894,7048606134
27	0,419845016155	0,419071797653	1,619140713564	1,514399894016	44894,813101412
28	0,419219299199	0,418516362053	1,616706105476	1,512454696541	44894,9209862963
29	0,418723019789	0,41807076831	1,614808411481	1,510924118486	44895,0288712731
30	0,418238744365	0,417644538265	1,612928626819	1,50944326179	44895,1366398727
31	0,417752349347	0,41718471082	1,611039593915	1,507819488621	44895,2441228704
32	0,417479662855	0,416958710507	1,610033420052	1,507033938919	44895,3519074768
33	0,416945938862	0,416434323202	1,607908807588	1,505195841697	44895,4592016088
34	0,41657217007	0,416075225859	1,606482881724	1,503933291	44895,5663770949
35	0,416206750907	0,415732965361	1,605094572558	1,502731800701	44895,6735372801
36	0,415859678347	0,415386722898	1,60375473688	1,501501627332	44895,7806136574
37	0,415545753051	0,415094846844	1,602541503885	1,500488109842	44895,8876666898
38	0,415174017295	0,41474741015	1,601091938149	1,499225838365	44895,9944371412
39	0,414904115318	0,414477440328	1,600070048697	1,498283249632	44896,1013326389
40	0,414600611492	0,414171236054	1,598900663265	1,497175924474	44896,2081156597
41	0,414326360516	0,413923361719	1,597819016413	1,496274287381	44896,3148266782
42	0,414049258144	0,413648168653	1,596685993082	1,495326956889	44896,4214012037
43	0,41372847206	0,41334337732	1,595511842862	1,494226418392	44896,5278739352
44	0,413464640086	0,413103101133	1,594506511383	1,493363682728	44896,6340234606
45	0,413205709707	0,412835825801	1,593491821119	1,492445178078	44896,7404602894
46	0,412942615681	0,412578748582	1,592512082199	1,491522683418	44896,8467838426
47	0,412677665714	0,412290672664	1,591491774363	1,490489121511	44896,9530659491
48	0,412431466898	0,412099495132	1,590575246291	1,489811526403	44897,0594096759
49	0,412135239513	0,411801193124	1,58939349929	1,488724474912	44897,1654153472
50	0,41193841573	0,411607468607	1,588663793549	1,488046467187	44897,2715642824
51	0,411654996666	0,411328420942	1,587548630348	1,487035982645	44897,3774260185
52	0,411463437051	0,411151457826	1,586819192221	1,486381738654	44897,4834293056
53	0,411218969522	0,410900854884	1,58588547391	1,48551624105	44897,5893432639
54	0,410995665834	0,410690413477	1,585047313	1,484758667987	44897,6952279861
55	0,410775411832	0,410479866523	1,584026665942	1,483998637503	44897,8012742593
56	0,410571178246	0,410280922364	1,583408045154	1,483296104843	44897,907058206
57	0,410319920729	0,410014806931	1,582446713629	1,482323737093	44898,0126521296
58	0,410108943786	0,409824970288	1,581653657751	1,481634302933	44898,1182280324
59	0,40991124242	0,40961826755	1,580881633351	1,48089418693	44898,2237189468
60	0,409741206987	0,409449117478	1,580252055892	1,480262752054	44898,3293369329
61	0,409585838197	0,409303090335	1,579650382304	1,479772032535	44898,4351100116
62	0,409303797085	0,409011213645	1,578574113173	1,478737619017	44898,5404677778
63	0,409074977159	0,408768416754	1,577662289234	1,477842561431	44898,645814919
64	0,408842381121	0,408566888096	1,576787392739	1,477094664141	44898,7510983102
65	0,408653831842	0,408377032804	1,57610596223	1,476427464325	44898,8563226505
66	0,408421197234	0,408145767917	1,575244044038	1,475577493009	44898,9614921644
67	0,408223077299	0,407952062262	1,574511807868	1,474898385272	44899,0667084838
68	0,407969286874	0,407716988979	1,573534717748	1,474013408841	44899,1716542708
69	0,407788879918	0,407536172747	1,572852901502	1,473372726987	44899,2765860417
70	0,407602558466	0,407364364215	1,572146708668	1,47275566996	44899,3815248958
